Title,URL,Index
Trump fires acting AG for defying immigration ban,http://nypost.com/2017/01/30/trump-fires-acting-ag-for-defying-immigration-ban/,117
"Trump defends immigration ban, calls the world ‘a horrible mess’",http://nypost.com/2017/01/29/trump-defends-immigration-ban-calls-the-world-a-horrible-mess/,118
Trump lays out ‘goals’ for immigration reform,http://nypost.com/2017/03/01/trump-lays-out-goals-for-immigration-reform/,119
Air France blocks 15 people traveling to US due to travel ban,http://nypost.com/2017/01/30/air-france-blocks-21-people-traveling-to-us-due-to-travel-ban/,120
Muslim ex-Knick after Trump ban: Today I found out I’m hated,http://nypost.com/2017/01/28/muslim-ex-knick-after-trump-ban-today-i-found-out-im-hated/,121
Iran to ban US citizens in retaliation to Trump move,http://nypost.com/2017/01/29/iran-to-ban-us-citizens-in-retaliation-to-trump-move/,122
US issues new visa criteria for 6 Muslim nations,http://nypost.com/2017/06/28/us-issues-new-visa-criteria-for-6-muslim-nations/,123
Foreigners may have to turn over cellphones under Trump’s ‘extreme vetting’,http://nypost.com/2017/04/04/foreigners-may-have-to-turn-over-cell-phones-under-trumps-extreme-vetting/,124
"Net chokes up: I’m Muslim, and Trump’s ban is ‘BS’",http://nypost.com/2017/01/28/emotional-nets-guard-im-muslim-and-trumps-ban-is-bs/,125
Hawaii to challenge new travel ban in court,http://nypost.com/2017/03/07/hawaii-to-challenge-new-travel-ban-in-court/,126
"Brooklyn doctor, CUNY student left stranded after travel ban",http://nypost.com/2017/01/30/brooklyn-doctor-cuny-student-among-stranded-after-travel-ban/,127
More than 100K visas revoked following Trump’s immigration ban,http://nypost.com/2017/02/03/more-than-100k-visas-revoked-following-trumps-immigration-ban/,128
Iran’s supreme leader: Travel ban shows ‘real face of America’,http://nypost.com/2017/02/07/irans-supreme-leader-travel-ban-shows-real-face-of-america/,129
"Trump, Trudeau manage to find common ground on a host of issues",http://nypost.com/2017/02/14/trump-trudeau-manage-to-find-common-ground-on-a-host-of-issues/,130
Trump asked me how to legally create ‘Muslim ban’: Giuliani,http://nypost.com/2017/01/29/trump-asked-me-how-to-legally-create-muslim-ban-giuliani/,131
ACLU gets record donations after Trump’s immigration ban,http://nypost.com/2017/01/30/aclu-gets-record-donations-after-trumps-immigration-ban/,132
State Department officers protest immigration ban,http://nypost.com/2017/01/30/state-department-officers-protest-immigration-ban/,133
Stan Van Gundy on Trump ban: This is like Hitler,http://nypost.com/2017/01/30/stan-van-gundy-on-trump-ban-this-is-like-hitler/,134
Thousands gather outside White House to protest Trump’s immigration ban,http://nypost.com/2017/01/29/thousands-gather-outside-white-house-to-protest-trumps-immigration-ban/,135
"Trump has support of nearly half of America, online polls say",http://nypost.com/2017/02/05/trump-has-support-of-nearly-half-of-america-online-polls-say/,136
Democrats invite immigrants and refugees to Trump’s first address to Congress,http://nypost.com/2017/02/26/democrats-invite-immigrants-and-refugees-to-trumps-first-address-to-congress/,137
Syrian refugee passed through customs despite Trump’s ban,http://nypost.com/2017/01/30/syrian-refugee-passed-through-customs-despite-trumps-ban/,138
