K,WCSSD-Mean,WCSSD-Std-Dev,Purity,NMI
156,2527.55622528,44.3108753319,0.442885771543,0.258372647616
157,2518.18924117,21.6094439997,0.446034926997,0.249220233534
158,2522.77348112,17.7551154507,0.446034926997,0.256713171193
159,2521.71532716,26.3501481929,0.453764672202,0.258764388519
160,2524.90422409,19.3532438275,0.446607500716,0.256294924358
161,2513.42736604,30.4635161684,0.442026910965,0.249626641325
162,2513.88062951,30.1151355936,0.4446034927,0.257535677711
163,2512.98994227,26.0691505551,0.448038935013,0.257731637619
164,2523.98963429,19.5632511949,0.448897795591,0.253479354751
165,2520.71973442,27.6870502169,0.445176066419,0.254390365526
166,2511.04550696,29.4544875348,0.447752648153,0.251205043045
167,2505.43468251,20.5538369871,0.458631548812,0.251160643434
168,2506.45668726,23.6378725649,0.454909819639,0.251344817862
169,2508.50314218,25.8215928966,0.447180074435,0.249794643005
170,2513.79208052,28.4565115292,0.453192098483,0.254244419698
171,2507.11511685,23.4291059239,0.450615516748,0.258736254363
172,2502.72536259,20.4749651145,0.448038935013,0.257062213162
173,2498.66294582,25.9769372787,0.450901803607,0.258979921695
174,2499.37764563,32.1139289551,0.453478385342,0.253920470739
175,2498.21689283,25.5109521018,0.446893787575,0.257849570078
176,2493.19430622,23.2758991885,0.464357286001,0.251616251061
177,2506.59061535,21.4465586495,0.452905811623,0.262512241867
178,2490.74006034,34.660601114,0.456054967077,0.255823485325
179,2498.91763001,25.9400863884,0.464929859719,0.257138834052
180,2489.93164266,24.831532044,0.45949040939,0.254900101988
181,2492.7602099,24.1845201542,0.453478385342,0.253926843993
182,2482.28955263,28.756048263,0.458917835671,0.254435858624
183,2484.63610478,21.5440473147,0.449756656169,0.254924923374
184,2491.77394538,29.8872474392,0.453478385342,0.253812773116
185,2485.25148166,26.5676448539,0.452333237904,0.251342353203
186,2485.18394792,39.377974342,0.452905811623,0.256262746116
187,2479.61683736,28.2018975576,0.455196106499,0.255402904348
188,2482.29636984,22.8810068701,0.456627540796,0.255284985221
189,2477.22214954,21.8920159356,0.457772688234,0.254009527622
190,2469.19994104,20.0804156744,0.468651588892,0.256844725195
191,2467.80238961,21.3414027346,0.460921843687,0.258358431974
192,2463.96293002,20.6280175621,0.460635556828,0.255126738837
193,2477.75629046,31.4845012807,0.461208130547,0.252838097016
194,2473.21259768,24.796188893,0.458631548812,0.257746942709
195,2466.510273,27.1445452648,0.453764672202,0.253768120422
196,2454.38407831,21.9783914605,0.451188090467,0.252185696491
197,2460.61651365,23.9967859021,0.462066991125,0.263738732419
198,2465.61747808,31.4375650001,0.466647580876,0.255349099317
199,2455.90613295,20.7126748772,0.45949040939,0.257943980136
200,2459.29264699,21.6058409414,0.465216146579,0.259366139108
201,2450.12841987,23.7090852348,0.462353277985,0.259182448878
202,2459.3503184,25.9172969147,0.457772688234,0.252068373916
203,2447.42755483,17.3831512144,0.462353277985,0.25888904214
204,2451.2686806,27.9103441197,0.45949040939,0.25980392337
205,2448.50362358,16.9515838455,0.45977669625,0.257418304474
206,2446.63280205,22.0838140323,0.466075007157,0.251689270176
207,2449.29908024,18.538274116,0.466075007157,0.252196517736
208,2448.68025774,20.2599800413,0.475236186659,0.255912600862
209,2437.94642979,19.5941782026,0.460635556828,0.256632919841
210,2429.36032679,17.5822103351,0.457486401374,0.256115847733
211,2450.29259695,29.0816686781,0.457200114515,0.257397257468
